stop_name,stop_id,stop_lat,stop_lon,promedio subidas,stop_url,página wikipedia
Alcántara,AL,-33.415325,-70.589453,3016.56,http://www.metro.cl/estacion/alcantara,
Baquedano,BA,-33.437036,-70.633527,7528.68,http://www.metro.cl/estacion/baquedano-l1,
Barrancas,BR,-33.452669,-70.739017,1394.8,http://www.metro.cl/estacion/barrancas,
Bellas Artes,BE,-33.436611,-70.644524,2574.52,http://www.metro.cl/estacion/bellas-artes,
Bellavista de la Florida,LF,-33.519822,-70.599652,5065.32,http://www.metro.cl/estacion/bellavista-de-la-florida,
Blanqueado,BL,-33.441505,-70.707321,1377.96,http://www.metro.cl/estacion/blanqueado,
Cal y Canto,CA,-33.432716,-70.652500,9728.48,http://www.metro.cl/estacion/cal-y-canto,
Camino Agrícola,AG,-33.491585,-70.617531,3308.84,http://www.metro.cl/estacion/camino-agricola,
Carlos Valdovinos,CV,-33.485641,-70.619652,1988.64,http://www.metro.cl/estacion/carlos-valdovinos,
Cementerios,CE,-33.414074,-70.643562,830,http://www.metro.cl/estacion/cementerios,
Cerro Blanco,CB,-33.422554,-70.644974,1756.72,http://www.metro.cl/estacion/cerro-blanco,
Ciudad del Niño,CN,-33.510162,-70.656860,1657.8,http://www.metro.cl/estacion/ciudad-del-nino,
Cristóbal Colón,CO,-33.426224,-70.590973,2222.24,http://www.metro.cl/estacion/cristobal-colon,
Cumming,RC,-33.439098,-70.668427,2427.92,http://www.metro.cl/estacion/cumming,
Del Sol,DS,-33.489991,-70.752848,1256.4,http://www.metro.cl/estacion/del-sol,
Departamental,DE,-33.502556,-70.654640,2044.16,http://www.metro.cl/estacion/departamental,
Dorsal,DO,-33.396801,-70.642677,1968.56,http://www.metro.cl/estacion/dorsal,
Ecuador,EC,-33.456047,-70.699669,2651.68,http://www.metro.cl/estacion/ecuador,
Einstein,EI,-33.405731,-70.643135,2464.68,http://www.metro.cl/estacion/einstein,
El Golf,GO,-33.416611,-70.595688,4216.68,http://www.metro.cl/estacion/el-golf,
El Parrón,EP,-33.526531,-70.661423,1905.52,http://www.metro.cl/estacion/el-llano,
Elisa Correa,EA,-33.569405,-70.583611,3676.44,http://www.metro.cl/estacion/el-parron,
El Llano,LL,-33.482703,-70.649445,2136.04,http://www.metro.cl/estacion/elisa-correa,
Escuela Militar,EM,-33.413752,-70.583250,10026.64,http://www.metro.cl/estacion/escuela-militar,
Estación Central,EL,-33.450970,-70.679169,9384.88,http://www.metro.cl/estacion/estacion-central,
Francisco Bilbao,BI,-33.431484,-70.584641,4089.28,http://www.metro.cl/estacion/francisco-bilbao,
Franklin,FR,-33.476217,-70.649632,1812.72,http://www.metro.cl/estacion/franklin,
Grecia,RG,-33.468819,-70.576202,4115.76,http://www.metro.cl/estacion/grecia,
Gruta de Lourdes,GL,-33.438262,-70.690838,1943.08,http://www.metro.cl/estacion/gruta-de-lourdes,
Hernando de Magallanes,HM,-33.407904,-70.556213,1979.92,http://www.metro.cl/estacion/hernando-magallanes,
Hospital Sótero del Río,HS,-33.576462,-70.582375,6639.12,http://www.metro.cl/estacion/hospital-sotero-del-rio,
Irarrázaval,IR,-33.453766,-70.628773,6596.92,http://www.metro.cl/estacion/irarrazaval,
La Cisterna,LC,-33.537443,-70.664251,14826.64,http://www.metro.cl/estacion/la-cisterna-l2,
La Granja,LG,-33.541138,-70.615967,1314.64,http://www.metro.cl/estacion/la-granja,
La Moneda,LM,-33.444857,-70.654811,8754.76,http://www.metro.cl/estacion/la-moneda,
Laguna Sur,LS,-33.462563,-70.738066,2657,http://www.metro.cl/estacion/laguna-sur,
Las Mercedes,ME,-33.602119,-70.577194,3301.96,http://www.metro.cl/estacion/las-mercedes,
Las Parcelas,PA,-33.475394,-70.740043,1622.56,http://www.metro.cl/estacion/las-parcelas,
Las Rejas,LR,-33.457157,-70.705963,8489.32,http://www.metro.cl/estacion/las-rejas,
Las Torres,LT,-33.500034,-70.587074,1559.36,http://www.metro.cl/estacion/las-torres,
Lo Ovalle,LO,-33.517200,-70.658707,3745.52,http://www.metro.cl/estacion/lo-ovalle,
Lo Prado,PR,-33.443298,-70.716412,696.2,http://www.metro.cl/estacion/lo-prado,
Lo Vial,LV,-33.497272,-70.653107,1544.96,http://www.metro.cl/estacion/lo-vial,
Los Dominicos,LD,-33.407895,-70.545109,5395.08,http://www.metro.cl/estacion/los-dominicos,
Los Héroes,LH,-33.446108,-70.660360,9588.84,http://www.metro.cl/estacion/los-heroes-l1,
Los Leones,LE,-33.422164,-70.608590,8762.96,http://www.metro.cl/estacion/los-leones,
Los Orientales,OR,-33.462456,-70.573792,1453.28,http://www.metro.cl/estacion/los-orientales,
Los Presidentes,LP,-33.479797,-70.578712,1629.68,http://www.metro.cl/estacion/los-presidentes,
Los Quillayes,LQ,-33.560627,-70.585289,1967.56,http://www.metro.cl/estacion/los-quillayes,
Macul,MC,-33.508785,-70.589485,5201.12,http://www.metro.cl/estacion/macul,
Manquehue,MQ,-33.409251,-70.568734,11500.6,http://www.metro.cl/estacion/manquehue,
Manuel Montt,MM,-33.428341,-70.619209,6472.04,http://www.metro.cl/estacion/manuel-montt,
Mirador,MA,-33.512936,-70.606583,2049.08,http://www.metro.cl/estacion/mirador,
Monte Tabor,MT,-33.481816,-70.745165,787.24,http://www.metro.cl/estacion/monte-tabor,
Neptuno,NP,-33.451546,-70.722687,2099.88,http://www.metro.cl/estacion/neptuno,
Ñuble,NU,-33.467190,-70.625186,3292.96,http://www.metro.cl/estacion/nuble,
Pajaritos,PJ,-33.457981,-70.715775,4822.04,http://www.metro.cl/estacion/pajaritos,
Parque Bustamante,PB,-33.442787,-70.631630,3811.88,http://www.metro.cl/estacion/parque-bustamante,
Parque OHiggins,PQ,-33.460464,-70.656868,2544.88,http://www.metro.cl/estacion/parque-ohiggins,
Patronato,PT,-33.429630,-70.647064,2576.04,http://www.metro.cl/estacion/patronato,
Pedrero,PE,-33.507812,-70.612663,2331.44,http://www.metro.cl/estacion/pedrero,
Pedro de Valdivia,PV,-33.425465,-70.614273,10498,http://www.metro.cl/estacion/pedro-de-valdivia,
Plaza de Armas,PZ,-33.437260,-70.650551,10780.48,http://www.metro.cl/estacion/plaza-de-armas,
Plaza Egaña,EG,-33.453278,-70.570732,4241.64,http://www.metro.cl/estacion/plaza-egana,
Plaza de Maipú,PM,-33.510522,-70.757230,8244.76,http://www.metro.cl/estacion/plaza-maipu,
Plaza de Puente Alto,PP,-33.609547,-70.575905,9100.68,http://www.metro.cl/estacion/plaza-puente-alto,
Príncipe de Gales,GA,-33.439163,-70.573090,2075.32,http://www.metro.cl/estacion/principe-de-gales,
Protectora de la Infancia,PI,-33.589287,-70.579704,2683.76,http://www.metro.cl/estacion/protectora-de-la-infancia,
Pudahuel,PU,-33.444830,-70.740722,3848.48,http://www.metro.cl/estacion/pudahuel,
Quilín,RQ,-33.487999,-70.580231,2059.72,http://www.metro.cl/estacion/quilin,
Quinta Normal,QN,-33.440282,-70.680357,3257.6,http://www.metro.cl/estacion/quinta-normal,
República,RP,-33.447952,-70.667564,8134.48,http://www.metro.cl/estacion/republica,
Rodrigo de Araya,RA,-33.477516,-70.622314,2316.72,http://www.metro.cl/estacion/rodrigo-de-araya,
Rojas Magallanes,RM,-33.535854,-70.592773,1123.68,http://www.metro.cl/estacion/rojas-magallanes,
Rondizzoni,RO,-33.470043,-70.656331,3711.96,http://www.metro.cl/estacion/rondizzoni,
Salvador,SA,-33.433107,-70.626585,6256.2,http://www.metro.cl/estacion/salvador,
San Alberto Hurtado,AH,-33.454113,-70.692436,3887.84,http://www.metro.cl/estacion/san-alberto-hurtado,
San Joaquín,SJ,-33.498318,-70.616020,4277.32,http://www.metro.cl/estacion/san-joaquin,
San José de la Estrella,JE,-33.553356,-70.586562,1917.68,http://www.metro.cl/estacion/san-jose-de-la-estrella,
San Miguel,SM,-33.488798,-70.651178,2747.48,http://www.metro.cl/estacion/san-miguel,
San Pablo,SP,-33.444226,-70.723315,6064.92,http://www.metro.cl/estacion/san-pablo-l1,
San Ramón,RN,-33.541194,-70.643671,1120.72,http://www.metro.cl/estacion/san-ramon,
Santa Ana,AN,-33.438254,-70.659823,12433.72,http://www.metro.cl/estacion/santa-ana-l2,
Santa Isabel,SI,-33.447102,-70.630402,2966.36,http://www.metro.cl/estacion/santa-isabel,
Santa Julia,JU,-33.531105,-70.605499,942.08,http://www.metro.cl/estacion/santa-julia,
Santa Lucía,SL,-33.442691,-70.645720,8180.6,http://www.metro.cl/estacion/santa-lucia,
