"AL","Alcantara","5","10","35","159","354","582","522","345","298","236","275","281","269","302","413","491","372","393","331","362","345","435","490","647","809","1433","1622","1147","645","503","292","224","186","168","88","13","0"
"BA","Baquedano","50","159","233","462","793","892","759","621","612","558","572","697","713","859","1034","1230","1311","1091","876","955","1118","1133","1179","1505","1918","2411","2523","2185","1569","1443","1252","1196","1176","1403","955","199","1"
"BR","Barrancas","29","127","318","556","479","408","314","276","223","161","154","128","112","123","113","163","148","120","121","122","152","122","134","171","253","378","430","286","218","164","119","106","90","81","57","14","1"
"BE","Bellas Artes","3","26","78","183","300","319","250","209","205","181","163","180","193","187","227","286","273","279","234","303","264","314","353","479","641","1015","1308","1083","733","669","460","416","388","339","254","75","1"
"LF","Bellavista de la Florida","147","233","547","1212","1468","1508","1308","985","887","776","728","709","752","632","685","846","759","713","614","587","566","583","586","625","745","909","859","739","628","584","673","653","523","329","206","24","0"
"BL","Blanqueado","18","134","315","540","606","564","414","359","274","214","170","141","126","119","133","158","148","116","128","124","117","126","122","132","201","237","252","192","148","138","106","101","79","69","54","14","0"
"CA","Cal y Canto","86","493","954","1949","2507","2598","1882","1427","1208","923","897","929","938","932","1070","1165","1231","1095","1053","1085","1098","1185","1261","1535","1963","2748","2971","2951","2380","1968","1433","1110","716","591","277","33","0"
"AG","Camino AgrÌ_cola","32","129","264","509","585","680","512","375","364","381","319","332","554","438","445","659","413","369","421","528","422","430","495","488","695","882","562","433","394","471","387","407","513","583","891","182","0"
"CV","Carlos Valdovinos","34","104","174","390","464","453","340","237","187","166","145","143","139","233","144","219","327","222","186","342","223","211","196","361","484","814","683","511","299","345","172","297","186","183","308","20","1"
"CE","Cementerios","14","57","122","214","229","219","147","123","106","82","90","79","87","90","91","119","108","117","100","96","104","149","147","175","187","299","201","177","109","85","65","56","44","38","23","4","0"
"CB","Cerro Blanco","6","54","143","297","362","369","248","216","177","175","172","176","184","195","216","256","220","197","179","236","199","253","315","399","481","646","651","527","355","276","198","124","116","90","66","10","0"
"CN","Ciudad del Nino","20","83","257","603","698","657","449","327","281","217","204","191","186","155","175","269","198","164","150","176","164","246","306","195","235","318","296","219","186","152","114","125","113","96","59","7","0"
"CO","Cristobal Colon","3","25","74","258","523","501","386","351","237","164","169","174","161","158","168","207","222","205","244","328","304","346","398","524","608","723","847","718","554","445","283","214","193","219","139","39","0"
"RC","Cumming","19","95","254","455","712","793","550","423","329","254","225","226","257","197","212","324","309","405","244","284","275","317","332","395","403","552","594","539","370","349","337","293","292","240","214","71","1"
"DS","Del Sol","44","133","325","728","858","733","329","266","193","151","119","112","91","104","106","156","118","98","83","89","79","102","96","112","123","154","189","114","110","77","72","65","50","51","46","7","0"
"DE","Departamental","43","160","349","623","649","589","430","409","372","308","279","278","242","211","238","343","291","243","221","217","252","218","306","278","324","508","460","340","250","205","158","139","106","92","78","12","0"
"DO","Dorsal","21","199","367","724","712","758","455","399","363","273","223","216","193","177","177","244","210","199","169","159","162","199","204","225","310","520","518","458","277","184","158","129","112","94","52","6","0"
"EC","Ecuador","67","209","338","715","817","1021","731","582","563","431","434","382","362","329","336","393","372","317","282","295","275","303","331","401","466","615","511","369","236","258","197","115","83","64","45","12","0"
"EI","Einstein","34","207","407","752","857","889","613","445","354","293","287","248","237","221","207","307","275","245","223","215","240","262","272","355","525","805","780","506","347","277","169","146","122","134","63","4","0"
"GO","El Golf","14","18","47","186","332","462","477","376","369","342","407","426","422","463","507","641","559","527","450","556","532","665","691","931","1213","2082","2295","1742","920","687","469","439","318","299","171","50","0"
