periodos,0:00,5:30,6:00,6:30,7:00,7:30,8:00,8:30,9:00,9:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30,,Total
La Granja,,82,303,568,726,937,825,436,283,215,148,124,111,95,91,105,114,90,79,76,83,70,61,71,75,103,126,115,86,77,67,63,60,46,39,16,3,2,,"6,573"
Protectora de la Infancia,,87,309,899,"1,645","1,938","1,698",860,644,469,351,307,259,203,198,226,273,211,210,181,168,178,182,179,186,254,278,210,153,126,113,114,98,92,67,46,5,0,,"13,419"
Elisa Correa,,195,603,"1,204","2,029","2,350","2,257","1,276",920,611,497,426,371,285,301,341,380,303,304,255,242,210,225,234,221,284,375,320,253,208,187,172,188,142,114,82,17,1,,"18,382"
Vicente ValdŽs,,415,815,"1,645","3,171","3,757","3,766","2,706","1,514","1,116",832,698,579,501,434,476,592,514,502,418,357,338,338,480,350,493,661,634,456,389,319,285,294,239,215,153,32,3,,"30,484"
San Ramon,,70,258,444,651,706,586,320,249,182,141,125,108,95,83,74,103,86,85,64,70,69,71,70,87,129,124,109,98,73,60,58,57,39,31,21,7,0,,"5,604"
Santa Julia,,61,247,366,540,570,462,295,209,152,123,105,83,82,65,70,75,69,64,59,60,51,57,56,74,102,97,86,70,68,68,60,57,38,33,25,8,1,,"4,710"
Del Sol,,44,133,325,728,858,733,329,266,193,151,119,112,91,104,106,156,118,98,83,89,79,102,96,112,123,154,189,114,110,77,72,65,50,51,46,7,0,,"6,282"
Las Rejas,,366,"1,024","1,913","3,667","4,558","5,286","3,909","2,439","1,793","1,176","1,048",930,813,690,695,824,803,697,583,600,549,577,571,637,803,"1,242","1,226",752,522,406,356,335,237,224,160,31,4,,"42,447"
Plaza de Puente Alto,,"1,266","2,999","4,519","5,181","4,662","4,088","2,599","2,126","1,413","1,158",954,854,756,817,853,873,842,721,556,504,475,510,513,620,775,918,833,666,507,523,480,380,277,179,97,8,,,"45,503"
Hospital Sotero del Rio,,431,"1,399","2,503","3,470","3,714","3,371","2,042","1,672","1,162",987,825,730,647,632,705,725,662,590,487,495,422,451,449,531,623,679,576,445,308,315,315,289,229,173,119,23,1,,"33,196"
Laguna Sur,,64,382,851,"1,745","1,534","1,242",716,621,506,383,309,280,217,197,244,387,257,244,195,222,197,169,183,262,234,310,271,210,168,156,137,139,101,83,60,11,0,,"13,285"
Los Quillayes,,89,382,735,"1,021","1,089","1,010",614,481,341,276,228,193,169,153,180,238,185,178,141,132,135,239,141,149,193,219,176,140,124,107,102,88,72,63,41,14,1,,"9,838"
San Jose de la Estrella,,45,257,582,953,"1,085","1,051",671,483,315,266,223,204,164,159,176,210,177,168,134,149,135,207,155,163,200,234,199,168,136,122,101,92,78,67,51,9,1,,"9,588"
Las Parcelas,,39,166,450,981,"1,033",781,419,381,286,229,189,163,133,126,143,229,157,136,131,117,113,123,124,126,162,179,173,148,126,109,107,102,80,87,61,4,0,,"8,113"
San Pablo,,307,972,"1,836","3,157","3,407","3,204","1,919","1,420","1,103",869,711,640,544,514,535,660,689,490,468,462,418,461,449,519,620,796,767,525,392,332,286,282,238,187,117,28,1,,"30,325"
Santa Rosa,,250,930,"1,568","2,122","2,241","2,129","1,229",954,692,490,448,420,334,324,379,428,362,343,296,286,266,278,336,431,564,662,541,381,293,274,210,197,154,125,71,19,3,,"21,031"
Neptuno,,105,366,613,"1,045","1,150","1,073",638,512,412,282,264,264,205,216,201,237,247,223,154,164,149,162,159,193,219,250,286,170,121,96,89,84,69,50,27,3,,,"10,499"
Los Presidentes,,42,189,398,773,928,845,537,402,319,230,207,163,136,133,122,152,155,130,120,120,118,124,143,125,179,228,187,169,149,133,118,124,107,70,49,21,1,,"8,148"
